x1 x2 v a psi kappa t
-1.626019 1.632206 1.120000 0.000000 1.565796 -0.250000 2.392857
-1.625969 1.642206 1.120000 0.000000 1.563296 -0.300000 2.401786
-1.625894 1.652206 1.120000 0.000000 1.560296 -0.350000 2.410714
-1.625789 1.662205 1.120000 0.000000 1.556796 -0.400000 2.419643
-1.625649 1.672204 1.120000 0.000000 1.552796 -0.450000 2.428571
-1.625469 1.682203 1.120000 0.000000 1.548296 -0.500000 2.437500
-1.625244 1.692200 1.120000 0.000000 1.543296 -0.550000 2.446429
-1.624969 1.702196 1.120000 0.000000 1.537796 -0.600000 2.455357
-1.624639 1.712191 1.120000 0.000000 1.531796 -0.650000 2.464286
-1.624250 1.722183 1.120000 0.000000 1.525296 -0.700000 2.473214
-1.623795 1.732173 1.120000 0.000000 1.518296 -0.750000 2.482143
-1.623270 1.742159 1.120000 0.000000 1.510796 -0.800000 2.491071
-1.622670 1.752141 1.120000 0.000000 1.502796 -0.850000 2.500000
-1.621991 1.762118 1.120000 0.000000 1.494296 -0.900000 2.508929
-1.621227 1.772089 1.120000 0.000000 1.485296 -0.950000 2.517857
-1.620373 1.782052 1.120000 0.000000 1.475796 -1.000000 2.526786
-1.619424 1.792007 1.120000 0.000000 1.465796 -1.050000 2.535714
-1.618376 1.801952 1.120000 0.000000 1.455296 -1.100000 2.544643
-1.617224 1.811885 1.120000 0.000000 1.444296 -1.150000 2.553571
-1.615962 1.821806 1.120000 0.000000 1.432796 -1.200000 2.562500
-1.614586 1.831711 1.120000 0.000000 1.420796 -1.250000 2.571429
-1.613092 1.841598 1.120000 0.000000 1.408296 -1.300000 2.580357
-1.611474 1.851466 1.120000 0.000000 1.395296 -1.350000 2.589286
-1.609728 1.861313 1.120000 0.000000 1.381796 -1.400000 2.598214
-1.607849 1.871135 1.120000 0.000000 1.367796 -1.450000 2.607143
-1.605833 1.880929 1.120000 0.000000 1.353296 -1.500000 2.616071
-1.603675 1.890694 1.120000 0.000000 1.338296 -1.550000 2.625000
-1.601371 1.900425 1.120000 0.000000 1.322796 -1.600000 2.633929
-1.598917 1.910119 1.120000 0.000000 1.306796 -1.650000 2.642857
-1.596307 1.919772 1.120000 0.000000 1.290296 -1.700000 2.651786
-1.593539 1.929382 1.120000 0.000000 1.273296 -1.750000 2.660714
-1.590607 1.938942 1.120000 0.000000 1.255796 -1.800000 2.669643
-1.587509 1.948450 1.120000 0.000000 1.237796 -1.850000 2.678571
-1.584240 1.957901 1.120000 0.000000 1.219296 -1.900000 2.687500
-1.580797 1.967289 1.120000 0.000000 1.200296 -1.950000 2.696429
-1.577177 1.976611 1.120000 0.000000 1.180796 -2.000000 2.705357
-1.573375 1.985860 1.120000 0.000000 1.160796 -2.050000 2.714286
-1.569389 1.995031 1.120000 0.000000 1.140296 -2.100000 2.723214
-1.565215 2.004119 1.120000 0.000000 1.119296 -2.150000 2.732143
-1.560852 2.013117 1.120000 0.000000 1.097796 -2.200000 2.741071
-1.556297 2.022019 1.120000 0.000000 1.075796 -2.250000 2.750000
-1.551546 2.030818 1.120000 0.000000 1.053296 -2.300000 2.758929
-1.546599 2.039509 1.120000 0.000000 1.030296 -2.350000 2.767857
-1.541454 2.048084 1.120000 0.000000 1.006796 -2.400000 2.776786
-1.536108 2.056535 1.120000 0.000000 0.982796 -2.450000 2.785714
-1.530561 2.064855 1.120000 0.000000 0.958296 -2.500000 2.794643
-1.524812 2.073037 1.120000 0.000000 0.933296 -2.550000 2.803571
-1.518860 2.081073 1.120000 0.000000 0.907796 -2.600000 2.812500
-1.512705 2.088955 1.120000 0.000000 0.881796 -2.650000 2.821429
-1.506347 2.096674 1.120000 0.000000 0.855296 -2.700000 2.830357
-1.499787 2.104221 1.120000 0.000000 0.828296 -2.750000 2.839286
-1.493026 2.111589 1.120000 0.000000 0.800796 -2.800000 2.848214
-1.486065 2.118768 1.120000 0.000000 0.772796 -2.850000 2.857143
-1.478905 2.125750 1.120000 0.000000 0.744296 -2.900000 2.866071
-1.471549 2.132524 1.120000 0.000000 0.715296 -2.950000 2.875000
-1.464000 2.139083 1.120000 0.000000 0.685796 -3.000000 2.883929
-1.456261 2.145415 1.120000 0.000000 0.655796 -3.050000 2.892857
-1.448336 2.151513 1.120000 0.000000 0.625296 -3.100000 2.901786
-1.440228 2.157367 1.120000 0.000000 0.594296 -3.150000 2.910714
-1.431942 2.162966 1.120000 0.000000 0.562796 -3.200000 2.919643
-1.423485 2.168302 1.120000 0.000000 0.530796 -3.250000 2.928571
-1.414861 2.173364 1.120000 0.000000 0.498296 -3.300000 2.937500
-1.406077 2.178143 1.120000 0.000000 0.465296 -3.350000 2.946429
-1.397140 2.182630 1.120000 0.000000 0.431796 -3.400000 2.955357
-1.388058 2.186815 1.120000 0.000000 0.397796 -3.450000 2.964286
-1.378838 2.190689 1.120000 0.000000 0.363296 -3.500000 2.973214
-1.369491 2.194242 1.120000 0.000000 0.328296 -3.550000 2.982143
-1.360025 2.197467 1.120000 0.000000 0.292796 -3.600000 2.991071
-1.350451 2.200353 1.120000 0.000000 0.256796 -3.650000 3.000000
-1.340779 2.202893 1.120000 0.000000 0.220296 -3.700000 3.008929
-1.331020 2.205078 1.120000 0.000000 0.183296 -3.750000 3.017857
-1.321188 2.206901 1.120000 0.000000 0.145796 -3.800000 3.026786
-1.311294 2.208354 1.120000 0.000000 0.107796 -3.850000 3.035714
-1.301352 2.209429 1.120000 0.000000 0.069296 -3.900000 3.044643
-1.291376 2.210122 1.120000 0.000000 0.030296 -3.950000 3.053571
-1.281381 2.210425 1.120000 0.000000 -0.009204 -4.000000 3.062500
-1.271381 2.210333 1.120000 0.000000 -0.049204 -3.950000 3.071429
-1.261393 2.209841 1.120000 0.000000 -0.088704 -3.900000 3.080357
-1.251432 2.208955 1.120000 0.000000 -0.127704 -3.850000 3.089286
-1.241514 2.207681 1.120000 0.000000 -0.166204 -3.800000 3.098214
-1.231652 2.206027 1.120000 0.000000 -0.204204 -3.750000 3.107143
-1.221859 2.203999 1.120000 0.000000 -0.241704 -3.700000 3.116071
-1.212150 2.201606 1.120000 0.000000 -0.278704 -3.650000 3.125000
-1.202536 2.198855 1.120000 0.000000 -0.315204 -3.600000 3.133929
-1.193029 2.195754 1.120000 0.000000 -0.351204 -3.550000 3.142857
-1.183639 2.192314 1.120000 0.000000 -0.386704 -3.500000 3.151786
-1.174378 2.188543 1.120000 0.000000 -0.421704 -3.450000 3.160714
-1.165254 2.184450 1.120000 0.000000 -0.456204 -3.400000 3.169643
-1.156276 2.180044 1.120000 0.000000 -0.490204 -3.350000 3.178571
-1.147454 2.175336 1.120000 0.000000 -0.523704 -3.300000 3.187500
-1.138794 2.170335 1.120000 0.000000 -0.556704 -3.250000 3.196429
-1.130304 2.165051 1.120000 0.000000 -0.589204 -3.200000 3.205357
